point_id,utm_easting,utm_northing,utm_zone,elevation,array,Ellipsoidal_Ht,Ortho_Ht,mic_type,notes
SBT-3-7-1,454901.8146,6080451.741,12,654.0784,SBT-3-7,630.8394,654.0784,ARU,
SBT-3-7-2,454938.2138,6080450.422,12,660.9413,SBT-3-7,637.7023,660.9413,ARU,
SBT-3-7-3,454972.0517,6080451.849,12,650.728,SBT-3-7,627.489,650.728,ARU,
SBT-3-7-4,455002.2424,6080447.022,12,654.0776,SBT-3-7,630.8386,654.0776,ARU,
SBT-3-7-5,455040.577,6080456.902,12,661.8522,SBT-3-7,638.6132,661.8522,ARU,
SBT-3-7-6,454905.359,6080413.104,12,647.2733,SBT-3-7,624.0343,647.2733,EXTMIC,
SBT-3-7-7,454937.2369,6080420.122,12,657.2884,SBT-3-7,634.0494,657.2884,EXTMIC,
SBT-3-7-8,454974.7873,6080417.285,12,654.6735,SBT-3-7,631.4345,654.6735,EXTMIC,
SBT-3-7-9,455007.368,6080417.427,12,656.3999,SBT-3-7,633.1609,656.3999,EXTMIC,
SBT-3-7-10,455037.1044,6080422.566,12,651.1695,SBT-3-7,627.9305,651.1695,EXTMIC,
SBT-3-7-11,454898.7381,6080390.006,12,652.6379,SBT-3-7,629.3989,652.6379,ARU,
SBT-3-7-12,454933.4345,6080381.205,12,652.3872,SBT-3-7,629.1482,652.3872,ARU,
SBT-3-7-13,454971.7359,6080378.249,12,656.7402,SBT-3-7,633.5012,656.7402,ARU,
SBT-3-7-14,455006.7064,6080386.725,12,661.8206,SBT-3-7,638.5816,661.8206,ARU,
SBT-3-7-15,455043.0702,6080380.894,12,667.5192,SBT-3-7,644.2802,667.5192,ARU,
SBT-3-7-16,454905.382,6080349.704,12,652.3239,SBT-3-7,629.0849,652.3239,EXTMIC,
SBT-3-7-17,454931.136,6080345.284,12,650.7181,SBT-3-7,627.4791,650.7181,EXTMIC,
SBT-3-7-18,454974.0135,6080350.639,12,652.5312,SBT-3-7,629.2922,652.5312,EXTMIC,
SBT-3-7-19,455003.2251,6080342.379,12,648.327,SBT-3-7,625.088,648.327,EXTMIC,
SBT-3-7-20,455040.1717,6080350.743,12,647.7664,SBT-3-7,624.5274,647.7664,EXTMIC,
SBT-3-7-21,454896.0362,6080311.947,12,648.5324,SBT-3-7,625.2934,648.5324,ARU,
SBT-3-7-22,454933.8436,6080311.789,12,654.4708,SBT-3-7,631.2318,654.4708,EXTMIC,
SBT-3-7-23,454969.6031,6080312.622,12,642.5961,SBT-3-7,619.3571,642.5961,ARU,
SBT-3-7-24,454998.3602,6080311.81,12,666.2248,SBT-3-7,642.9858,666.2248,EXTMIC,
SBT-3-7-25,455035.6884,6080311.885,12,659.1244,SBT-3-7,635.8854,659.1244,ARU,
SBT-3-7-26,455072.8494,6080418.852,12,655.1871,SBT-3-7,631.9481,655.1871,ARU,
SBT-3-7-27,455110.4551,6080420.803,12,662.6143,SBT-3-7,639.3753,662.6143,ARU,
SBT-3-7-28,455139.9575,6080425.145,12,652.9458,SBT-3-7,629.7068,652.9458,ARU,
SBT-3-7-29,455181.9959,6080424.017,12,659.2651,SBT-3-7,636.0261,659.2651,ARU,
SBT-3-7-30,455210.8091,6080413.825,12,659.1444,SBT-3-7,635.9054,659.1444,ARU,
SBT-3-7-31,455072.8826,6080389.65,12,668.9758,SBT-3-7,645.7368,668.9758,EXTMIC,
SBT-3-7-32,455108.153,6080388.977,12,663.6568,SBT-3-7,640.4178,663.6568,EXTMIC,
SBT-3-7-33,455145.2657,6080385.678,12,652.1146,SBT-3-7,628.8756,652.1146,EXTMIC,
SBT-3-7-34,455180.9688,6080393.859,12,655.0471,SBT-3-7,631.8081,655.0471,EXTMIC,
SBT-3-7-35,455211.993,6080383.66,12,660.0673,SBT-3-7,636.8283,660.0673,EXTMIC,
SBT-3-7-36,455077.6287,6080355.216,12,652.4281,SBT-3-7,629.1891,652.4281,ARU,
SBT-3-7-37,455112.5971,6080349.096,12,663.5593,SBT-3-7,640.3203,663.5593,EXTMIC,
SBT-3-7-38,455144.6011,6080342.009,12,658.2423,SBT-3-7,635.0033,658.2423,ARU,
SBT-3-7-39,455174.155,6080345.207,12,654.6143,SBT-3-7,631.3753,654.6143,EXTMIC,
SBT-3-7-40,455212.717,6080347.683,12,655.5513,SBT-3-7,632.3123,655.5513,ARU,
SBT-3-7-41,455074.1016,6080311.215,12,664.4231,SBT-3-7,641.1841,664.4231,EXTMIC,
SBT-3-7-42,455112.8172,6080313.392,12,658.6485,SBT-3-7,635.4095,658.6485,EXTMIC,
SBT-3-7-43,455147.9112,6080313.736,12,664.0324,SBT-3-7,640.7934,664.0324,ARU,
SBT-3-7-44,455174.1151,6080315.048,12,660.4353,SBT-3-7,637.1963,660.4353,ARU,
